Player,Team,Position,Salary
Alexander Colome,TB,P,5500
Bartolo Colon,TEX,P,6400
Michael Conforto,NYM,OF,3500
P.J. Conlon,NYM,P,5500
Willson Contreras,CHC,C,2600
Garrett Cooper,MIA,OF,2000
Patrick Corbin,ARI,P,10000
Franchy Cordero,SD,OF,3300
Allen Cordoba,SD,SS,2000
Carlos Correa,HOU,SS,4300
Nestor Cortes,NYY,P,5500
Jharel Cotton,OAK,P,6200
Dan Coulombe,OAK,P,5500
Dylan Covey,CWS,P,5500
Zack Cozart,LAA,3B,3400
Brandon Crawford,SF,SS,3000
J.P. Crawford,PHI,SS,2200
Kyle Crick,PIT,P,5500
C.J. Cron,TB,1B,3200
Nelson Cruz,SEA,OF,3700
Johnny Cueto,SF,P,8300
Noel Cuevas,COL,OF,3000
Charlie Culberson,ATL,3B,2000
Zac Curtis,PHI,P,5500
Cheslor Cuthbert,KC,3B,2400
David Dahl,COL,OF,3300
Yu Darvish,CHC,P,8000
Matt Davidson,CWS,3B,3500
Zach Davies,MIL,P,7900
Khris Davis,OAK,OF,3500
Rajai Davis,CLE,OF,2500
Chris Davis,BAL,1B,2500
Wade Davis,COL,P,5500
J.D. Davis,HOU,1B,2100
Rookie Davis,CIN,P,5500
Grant Dayton,ATL,P,5500
Jorge De La Rosa,ARI,P,5500
Jose De Leon,TB,P,5500
Anthony DeSclafani,CIN,P,5500
Delino DeShields,TEX,OF,3500
Randall Delgado,ARI,P,5900
Nicky Delmonico,CWS,OF,2400
Daniel Descalso,ARI,3B,2700
Ian Desmond,COL,1B,3500
Odrisamer Despaigne,MIA,P,5500
Chris Devenski,HOU,P,5500
Rafael Devers,BOS,3B,3400
Aledmys Diaz,TOR,SS,2300
Elias Diaz,PIT,C,2000
Edwin Diaz,SEA,P,5500
Corey Dickerson,PIT,OF,3900
Alex Dickerson,SD,OF,2000
Jake Diekman,TEX,P,5500
Derek Dietrich,MIA,OF,2300
Wilmer Difo,WSH,2B,3000
Seranthony Dominguez,PHI,P,5500
Josh Donaldson,TOR,3B,4000
Sean Doolittle,WSH,P,5500
Oliver Drake,CLE,P,5500
Brandon Drury,NYY,3B,2400
Lucas Duda,KC,1B,2500
Brian Duensing,CHC,P,5500
Danny Duffy,KC,P,6800
Matt Duffy,TB,3B,2900
Ryan Dull,OAK,P,5500
Mike Dunn,COL,P,5500
Adam Duvall,CIN,OF,3100
Jarrod Dyson,ARI,OF,2000
Sam Dyson,SF,P,5500
Adam Eaton,WSH,OF,3500
C.J. Edwards,CHC,P,5500
Zach Eflin,PHI,P,7000
Jerad Eickhoff,PHI,P,5900
A.J. Ellis,SD,C,2300
Jacoby Ellsbury,NYY,OF,2000
Edwin Encarnacion,CLE,1B,3600
Adam Engel,CWS,OF,2100
Nathan Eovaldi,TB,P,5500
Robbie Erlin,SD,P,5500
Phillip Ervin,CIN,OF,2100
Alcides Escobar,KC,SS,2400
Carlos Estevez,COL,P,5500
Marco Estrada,TOR,P,7200
Phillip Evans,NYM,3B,2000
Jeurys Familia,NYM,P,5500
Jacob Faria,TB,P,7000
Buck Farmer,DET,P,5500
Kyle Farmer,LAD,3B,2000
Danny Farquhar,CWS,P,5500
Luke Farrell,CHC,P,5500
Michael Feliz,PIT,P,5500
Julian Fernandez,SF,P,5500
Johnny Field,TB,OF,2500
Joshua Fields,LAD,P,5500
Mike Fiers,DET,P,6000
Brandon Finnegan,CIN,P,5500
Derek Fisher,HOU,OF,2100
Doug Fister,TEX,P,6400
Ryan Flaherty,ATL,3B,2800
Wilmer Flores,NYM,1B,2500
Pedro Florimon,PHI,SS,2400
Dylan Floro,CIN,P,5500
Tyler Flowers,ATL,C,2200
Brian Flynn,KC,P,5500
Michael Foltynewicz,ATL,P,7500
Wilmer Font,OAK,P,5500
Nolan Fontana,LAA,2B,3000
Logan Forsythe,LAD,3B,2300
Jandel Francisco Gustave,HOU,P,5500
Maikel Franco,PHI,3B,3600
Todd Frazier,NYM,3B,3500
Clint Frazier,NYY,OF,2000
Adam Frazier,PIT,OF,2500
Kyle Freeland,COL,P,7200
Freddie Freeman,ATL,1B,4500
Sam Freeman,ATL,P,5500
David Freese,PIT,3B,2400
David Freitas,SEA,C,2100
Max Fried,ATL,P,5500
Jace Fry,CWS,P,5500
Carson Fulmer,CWS,P,5700
Michael Fulmer,DET,P,8200
Cam Gallagher,KC,C,2000
Yovani Gallardo,TEX,P,5500
Joey Gallo,TEX,OF,3700
Freddy Galvis,SD,SS,2400
Ben Gamel,SEA,OF,2200
Jaime Garcia,TOR,P,5700
Avisail Garcia,CWS,OF,2300
Leury Garcia,CWS,2B,2500
Yimi Garcia,LAD,P,5500
Luis Garcia,PHI,P,5500
Jarlin Garcia,MIA,P,7100
Nick Gardewine,TEX,P,5500
Brett Gardner,NYY,OF,3000
Amir Garrett,CIN,P,5500
Evan Gattis,HOU,C,2000
Kevin Gausman,BAL,P,8900
Cory Gearrin,SF,P,5500
Scooter Gennett,CIN,2B,3100
Craig Gentry,BAL,OF,2000
Mike Gerber,DET,OF,2000
Domingo German,NYY,P,5800
Kenneth Giles,HOU,P,5500
Lucas Giolito,CWS,P,5500
Tyler Glasnow,PIT,P,5500
Koda Glover,WSH,P,5500
Zack Godley,ARI,P,9000
Erik Goeddel,SEA,P,5500
Luiz Gohara,ATL,P,7000
Ryan Goins,KC,2B,2000
Paul Goldschmidt,ARI,1B,3400
Yan Gomes,CLE,C,2800
Carlos Gomez,TB,OF,2700
Roberto Gomez,SF,P,5500
Marco Gonzales,SEA,P,6500
Marwin Gonzalez,HOU,1B,3100
Erik Gonzalez,CLE,2B,2100
Adrian Gonzalez,NYM,1B,2800
Carlos Gonzalez,COL,OF,3000
Gio Gonzalez,WSH,P,9000
Miguel Gonzalez,CWS,P,5600
Severino Gonzalez,MIA,P,5500
Merandy Gonzalez,MIA,P,5500
