Player,Team,Position,Salary
John Ryan Murphy,ARI,C,2200
Hyun Jin Ryu,LAD,P,7800
Marc Rzepczynski,SEA,P,5500
CC Sabathia,NYY,P,6700
Tyler Saladino,MIL,3B,2000
Fernando Salas,ARI,P,5500
Danny Salazar,CLE,P,7500
Chris Sale,BOS,P,11400
Jeff Samardzija,SF,P,6600
Gary Sanchez,NYY,C,4200
Yolmer Sanchez,CWS,3B,3300
Aaron Sanchez,TOR,P,6300
Anibal Sanchez,ATL,P,5800
Adrian Sanchez,WSH,SS,2000
Pablo Sandoval,SF,3B,2300
Carlos Santana,PHI,1B,2900
Domingo Santana,MIL,OF,2900
Edgar Santana,PIT,P,5500
Anthony Santander,BAL,OF,2000
Hector Santiago,CWS,P,5500
Luis Santos,TOR,P,5500
Luis Sardinas,BAL,SS,2000
Warwick Saupold,DET,P,5500
Scott Schebler,CIN,OF,2900
Max Scherzer,WSH,P,11800
Ryan Schimpf,LAA,3B,3100
Jonathan Schoop,BAL,2B,2700
A.J. Schugel,PIT,P,5500
Kyle Schwarber,CHC,OF,3700
Tanner Scott,BAL,P,5500
Kyle Seager,SEA,3B,2900
Corey Seager,LAD,SS,2000
Jean Segura,SEA,SS,3200
Marcus Semien,OAK,SS,3300
Antonio Senzatela,COL,P,5500
Luis Severino,NYY,P,10100
Pedro Severino,WSH,C,2200
Paul Sewald,NYM,P,5500
Kevin Shackelford,CIN,P,5500
Bryan Shaw,COL,P,5500
Travis Shaw,MIL,3B,3400
James Shields,CWS,P,5700
Braden Shipley,ARI,P,5500
Matt Shoemaker,LAA,P,5500
Chasen Shreve,NYY,P,5500
J.B. Shuck,MIA,OF,2000
Moises Sierra,WSH,OF,2000
Andrelton Simmons,LAA,SS,4100
Lucas Sims,ATL,P,5500
Tony Sipp,HOU,P,5500
Chance Sisco,BAL,C,2000
Tyler Skaggs,LAA,P,8000
Eric Skoglund,KC,P,5800
Austin Slater,SF,OF,2200
Will Smith,SF,P,5500
Carson Smith,BOS,P,5500
Mallex Smith,TB,OF,3200
Burch Smith,KC,P,5500
Dominic Smith,NYM,1B,2000
Joe Smith,HOU,P,5500
Dwight Smith Jr.,TOR,OF,2000
Kevan Smith,CWS,C,2000
Caleb Smith,MIA,P,7300
Justin Smoak,TOR,1B,3300
Joshua Smoker,PIT,P,5500
Jake Smolinski,OAK,OF,2000
Drew Smyly,CHC,P,5500
Blake Snell,TB,P,8500
D.J. Snelten,SF,P,5500
Brandon Snyder,TB,3B,2000
Miguel Socolovich,ATL,P,5500
Eric Sogard,MIL,2B,2000
Jhonatan Solano,WSH,C,2000
Yangervis Solarte,TOR,3B,3400
Jorge Soler,KC,OF,3500
Sammy Solis,WSH,P,5500
Joakim Soria,CWS,P,5500
Mike Soroka,ATL,P,7000
Steven Souza,ARI,OF,2100
Denard Span,TB,OF,3200
Cory Spangenberg,SD,3B,2100
George Springer,HOU,OF,4600
Craig Stammen,SD,P,5500
Ryne Stanek,TB,P,5500
Giancarlo Stanton,NYY,OF,4800
Bubba Starling,KC,OF,2000
Max Stassi,HOU,C,2200
Drew Steckenrider,MIA,P,5500
Jackson Stephens,CIN,P,5500
Andrew Stevenson,WSH,OF,2300
Chris Stewart,ATL,C,2000
Brock Stewart,LAD,P,5500
Trevor Story,COL,SS,3700
Eric Stout,KC,P,5500
Matthew Strahm,SD,P,5500
Daniel Straily,MIA,P,5500
Stephen Strasburg,WSH,P,10000
Chris Stratton,SF,P,7600
Hunter Strickland,SF,P,5500
Ross Stripling,LAD,P,5600
Marcus Stroman,TOR,P,6100
Pedro Strop,CHC,P,5500
Daniel Stumpf,DET,P,5500
Eugenio Suarez,CIN,3B,4300
Jesus Sucre,TB,C,2000
Wander Suero,WSH,P,5500
Brent Suter,MIL,P,5500
Kurt Suzuki,ATL,C,3100
Ichiro Suzuki,SEA,OF,2000
Dansby Swanson,ATL,SS,2000
Anthony Swarzak,NYM,P,5500
Blake Swihart,BOS,C,2000
Noah Syndergaard,NYM,P,10000
Matthew Szczur,SD,OF,2000
Jameson Taillon,PIT,P,7900
Masahiro Tanaka,NYY,P,8600
Mike Tauchman,COL,OF,3000
Michael Taylor,WSH,OF,2500
Chris Taylor,LAD,SS,3500
Ben Taylor,CLE,P,5500
Junichi Tazawa,MIA,P,5500
Julio Teheran,ATL,P,7400
Tomas Telis,MIA,C,2000
Ryan Tepera,TOR,P,5500
Eric Thames,MIL,1B,2000
Trayce Thompson,CWS,OF,2000
Jake Thompson,PHI,P,5500
Tyler Thornburg,BOS,P,5500
Chris Tillman,BAL,P,5500
Carlos Tocci,TEX,OF,2000
Josh Tomlin,CLE,P,5500
Kelby Tomlinson,SF,SS,2000
Carlos Torres,WSH,P,5500
Gleyber Torres,NYY,2B,3700
Jose Torres,SD,P,5500
Ronald Torreyes,NYY,2B,2300
Devon Travis,TOR,2B,2000
Blake Treinen,OAK,P,5500
Andrew Triggs,OAK,P,7700
Lou Trivino,OAK,P,5500
Nick Tropeano,LAA,P,6500
Mike Trout,LAA,OF,6000
Mark Trumbo,BAL,OF,2800
Jen Ho Tseng,CHC,P,5500
Preston Tucker,ATL,OF,2100
Troy Tulowitzki,TOR,SS,2000
Jacob Turner,MIA,P,5500
Justin Turner,LAD,3B,3000
Trea Turner,WSH,SS,4200
Justin Upton,LAA,OF,3800
Jose Urena,MIA,P,7000
Richard Urena,TOR,SS,2000
Julio Urias,LAD,P,6000
Giovanny Urshela,CLE,3B,2000
Chase Utley,LAD,2B,2100
Pat Valaika,COL,2B,3000
Luis Valbuena,LAA,3B,3200
Danny Valencia,BAL,3B,2300
Jesmuel Valentin,PHI,2B,2000
Breyvic Valera,LAD,2B,2000
Jason Vargas,NYM,P,5500
Christian Vazquez,BOS,C,2200
Felipe Vazquez,PIT,P,5500
Vincent Velasquez,PHI,P,8000
Hector Velazquez,BOS,P,5900
Jonny Venters,TB,P,5500
Drew VerHagen,DET,P,5500
Alex Verdugo,LAD,OF,2400
Justin Verlander,HOU,P,11000
Engelb Vielma,BAL,SS,2000
Christian Villanueva,SD,3B,3300
Jonathan Villar,MIL,2B,2600
Nick Vincent,SEA,P,5500
Arodys Vizcaino,ATL,P,5500
Dan Vogelbach,SEA,1B,2200
Stephen Vogt,MIL,C,2000
Chris Volstad,CWS,P,5500
Austin Voth,WSH,P,5500
Joey Votto,CIN,1B,4100
Tyler Wade,NYY,2B,2000
Marcus Walden,BOS,P,5500
Taijuan Walker,ARI,P,7400
Christian Walker,ARI,1B,2100
Neil Walker,NYY,1B,2600
Chad Wallach,MIA,C,2000
Adam Warren,NYY,P,5500
Tony Watson,SF,P,5500
Tyler Webb,SD,P,5500
Ryan Weber,TB,P,5500
Zack Weiss,CIN,P,5500
Joe Wendle,TB,2B,2700
Zack Wheeler,NYM,P,5800
Chase Whitley,ATL,P,5500
Matt Wieters,WSH,C,2300
Nick Williams,PHI,OF,2300
Trevor Williams,PIT,P,7100
Taylor Williams,MIL,P,5500
Mac Williamson,SF,OF,2800
Justin Wilson,CHC,P,5500
Alex Wilson,DET,P,5500
Jesse Winker,CIN,OF,2700
Daniel Winkler,ATL,P,5500
Matthew Wisler,ATL,P,6200
Nick Wittgren,MIA,P,5500
Tony Wolters,COL,C,3000
Blake Wood,LAA,P,5500
Alex Wood,LAD,P,8400
Hunter Wood,TB,P,5500
Brandon Woodruff,MIL,P,5500
Mike Wright,BAL,P,5500
Steven Wright,BOS,P,5500
David Wright,NYM,3B,2000
Jimmy Yacabonis,BAL,P,5500
Ryan Yarbrough,TB,P,6000
Kirby Yates,SD,P,5500
Christian Yelich,MIL,OF,3600
Gabriel Ynoa,BAL,P,5500
Chris Young,LAA,OF,3000
Brad Ziegler,MIA,P,5500
Bradley Zimmer,CLE,OF,2600
Ryan Zimmerman,WSH,1B,3000
Jordan Zimmermann,DET,P,7700
Ben Zobrist,CHC,OF,2800
Mike Zunino,SEA,C,2700
Travis d'Arnaud,NYM,C,2000
Jacob deGrom,NYM,P,10400
