name,Power,Ground
Bryan Shaw,vs. avg.P/F,vs. GrndBall
Buck Farmer,vs. avg.P/F,vs. avg.F/G
Bud Norris,vs. avg.P/F,vs. avg.F/G
Buddy Baumann,vs. Power,vs. Fly Ball
Buddy Boshers,vs. avg.P/F,vs. GrndBall
Buddy Carlyle,vs. avg.P/F,vs. Fly Ball
Burke Badenhop,vs. Finesse,vs. GrndBall
C.J. Wilson,vs. avg.P/F,vs. avg.F/G
CC Sabathia,vs. avg.P/F,vs. avg.F/G
Caleb Ferguson,vs. Power,vs. GrndBall
Caleb Smith,vs. Power,vs. Fly Ball
Caleb Thielbar,vs. avg.P/F,vs. Fly Ball
Cam Bedrosian,vs. Power,vs. avg.F/G
Carl Edwards,vs. Power,vs. avg.F/G
Carl Edwards Jr.,vs. Power,vs. avg.F/G
Carlos Carrasco,vs. avg.P/F,vs. GrndBall
Carlos Estevez,vs. Power,vs. avg.F/G
Carlos Frias,vs. Finesse,vs. GrndBall
Carlos Martinez,vs. Power,vs. GrndBall
Carlos Rodon,vs. Power,vs. avg.F/G
Carlos Torres,vs. avg.P/F,vs. avg.F/G
Carlos Villanueva,vs. avg.P/F,vs. Fly Ball
Carson Fulmer,vs. Power,vs. Fly Ball
Carson Smith,vs. Power,vs. GrndBall
Casey Coleman,vs. Finesse,vs. avg.F/G
Casey Fien,vs. Finesse,vs. Fly Ball
Casey Janssen,vs. Finesse,vs. avg.F/G
Casey Lawrence,vs. avg.P/F,vs. GrndBall
Cesar Ramos,vs. avg.P/F,vs. avg.F/G
Chad Bettis,vs. Finesse,vs. GrndBall
Chad Billingsley,vs. avg.P/F,vs. avg.F/G
Chad Green,vs. Power,vs. Fly Ball
Chad Kuhl,vs. avg.P/F,vs. avg.F/G
Chad Qualls,vs. Finesse,vs. GrndBall
Charlie Furbush,vs. Power,vs. Fly Ball
Charlie Morton,vs. avg.P/F,vs. GrndBall
Chase Anderson,vs. avg.P/F,vs. avg.F/G
Chase Whitley,vs. Finesse,vs. avg.F/G
Chasen Bradford,vs. Finesse,vs. GrndBall
Chasen Shreve,vs. Power,vs. avg.F/G
Chaz Roe,vs. Power,vs. GrndBall
Chi Chi Gonzalez,vs. Finesse,vs. GrndBall
Chien-Ming Wang,vs. Finesse,vs. GrndBall
Chris Archer,vs. Power,vs. avg.F/G
Chris Bassitt,vs. Finesse,vs. avg.F/G
Chris Beck,vs. avg.P/F,vs. avg.F/G
Chris Capuano,vs. Finesse,vs. Fly Ball
Chris Devenski,vs. Power,vs. Fly Ball
Chris Flexen,vs. avg.P/F,vs. avg.F/G
Chris Hatcher,vs. avg.P/F,vs. avg.F/G
Chris Heston,vs. avg.P/F,vs. GrndBall
Chris Martin,vs. Finesse,vs. GrndBall
Chris Narveson,vs. avg.P/F,vs. Fly Ball
Chris O'Grady,vs. Power,vs. Fly Ball
Chris Rusin,vs. Finesse,vs. GrndBall
Chris Sale,vs. Power,vs. avg.F/G
